Reference,Title,GEO Accession Number,DOI,Publication Year,Journal,Cell Line,Number of Cell Lines,Cell Line Sex,Cell Line Ancestry,hiPSC Matrix Coating,hiPSC Backbone Media,Seeding Confluency (%),hiPSC-CM Backbone Media,hiPSC-CM Media Supplements,Wnt Activator,Time of Wnt Activator (Start Day - End Day),Wnt Inhibitor,Time of Wnt Inhibitor (Start Day - End Day),Purification Protocol,Time of hiPSC-CM Purification (Start Day - End Day),Method to Assess Differentiation Purity,Differentiation Purity (%),hiPSC-CM Maintenance/Maturation Media (if different),hiPSC-CM Matrix Coating if Replated,Metabolic Maturation Technique,Metabolic Components,Metabolic Maturation Technique,Tension Maturation Technique,Other Cells Maturation Technique,Mechanical Maturation Technique,Cell Alignment Maturation Technique,Elastomeric Maturation Technique,ECM Maturation Technique,2D Surface,3D Platform,3D Cell Types,3D Stromal Cell Source,3D: Types of Endothelial Cell (EC) ,3D Tissue Media,3D Estimated Cell Density (mil cells/mL),3D Estimated Tissue Size (mm2),Immunofluorescent Imaging,Election Microscopy,Sarcomere/Cellular Alignment Analysis,Sarcomere Length (um),hiPSC-CM Cell Area (um2),T-tubule Observation,Contractile Analysis Method,Contractile Force (mN),Contractile Stress (mN/mm2),Contraction Upstroke Velocity (um/s),Calcium Handling Analysis Method,Calcium Flux Amplitude (F/F0),Beat Rate (bpm),Time to Calcium Flux Peak (ms),Time from Calcium Peak to Relaxation (ms),Conduction Velocity (cm/s),Electrophysiology Analysis Method,Action Potential Conduction Velocity (cm/s),Action Potential Amplitude (mV),Resting Membrane Potential (mV),Max Capture Rate of Paced CMs (Hz),Metabolic Analysis Method,Fatty Acid Metabolism Measured,Gene Analysis Method,Pharmacological Interventions,Disease Modelling,MYH7 Percentage (MYH6),MYL2 Precentage (MYL7),TNNI3 Precentage (TNNI1),Deduced Culture Strategy,Seeding Confluency 2D (%),Seeding Confluency 3D (%),Wnt Induction Duration (days),Wnt Induction Duration (days) Quantiles,Wnt Inhibitor Duration (days),Wnt Inhibitor Duration (days) Quantiles,Insulin Start Day,Insulin Withdrawal Duration (days),Insulin Withdrawal Duration (days) Quantiles,hiPSC-CM Purification Duration (days),hiPSC-CM Purification Duration (days) Quantiles,Differentiation Purity (%) Quantiles,hiPSC-CM Maintenance/Maturation Media,3D CM Ratio (CM-EC-SC),3D CM Ratio (CM-EC-SC) Quantiles,3D EC Ratio (CM-EC-SC),3D EC Ratio (CM-EC-SC) Quantiles,3D SC Ratio (CM-EC-SC),3D SC Ratio (CM-EC-SC) Quantiles,3D Estimated Cell Density (mil cells/mL) Quantiles,3D Estimated Tissue Size (mm2) Quantiles,Sarcomere Length (um) Quantiles,Cell Area (um2) Quantiles,Contractile Force (mN) Quantiles,Contractile Stress (mN/mm2) Quantiles,Contraction Upstroke Velocity (um/s) Quantiles,Calcium Flux Amplitude (F/F0) Quantiles,Beat Rate (bpm) Quantiles,Time to Calcium Flux Peak (ms) Quantiles,Time from Calcium Peak to Relaxation (ms) Quantiles,Conduction Velocity from Calcium Imaging (cm/s) Quantiles,Action Potential Conduction Velocity (cm/s) Quantiles,Action Potential Amplitude (mV) Quantiles,Resting Membrane Potential (mV) Quantiles,Max Capture Rate of Paced CMs (Hz) Quantiles,MYH7 Percentage (MYH6) Quantiles,MYL2 Precentage (MYL7) Quantiles,TNNI3 Precentage (TNNI1) Quantiles
"Blinova, K. et al. Comprehensive translational assessment of human- induced pluripotent stem cell derived cardiomyocytes for evaluating drug-induced arrhythmias. Toxicological Sciences 155, 234247 (2017).", Comprehensive translational assessment of human- induced pluripotent stem cell derived cardiomyocytes for evaluating drug-induced arrhythmias,,https://doi.org/10.1093/toxsci/kfw200,2017," Toxicological Sciences 155, 234247 (2017)","iCell, Cor.4U",2,"NaN, NaN","NaN, NaN",,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,,,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PCR,"dofetilide, quinidine, moxifloxacin, ranolazine, verapamil, quinine, propafenone, chloroquine, terfenadine, cisapride, amiodarone, azithromycin, ritonavir, amitriptyline, nilotinib, toremifene, lidocaine, mexiletine, mibefradil, diltiazem, licarbazepine, cibenzoline, sertindole",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,,,,,,,,,,,,,,,,,,,,,,,,,
"Blinova, K. et al. International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment. Cell Rep 24, 35823592 (2018).", International Multisite Study of Human-Induced Pluripotent Stem Cell-Derived Cardiomyocytes for Drug Proarrhythmic Potential Assessment,,https://doi.org/10.1016/j.celrep.2018.08.079,2018," Cell Rep 24, 35823592 (2018)","iCell, Cor.4U",3,"NaN, NaN","NaN, NaN",,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,MEA,,,,,,,,"verapamil, diltiazem, loratadine, metoprolol, mexiletine, nifedipine, nitrendipine, ranolazine, tamoxifen, terfenadine, astemizole, chlorpromazine, cisapride, clarithromycin, clozapine, domperidone, droperidol, ondansetron, pimozide, risperidone, dofetilide, azimilide, bepridil, DL-sotalol, disopyramide, ibutilide, quinidine, vandetanib",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,,,,,,,,,,,,,,,,,,,,,,,,,
"Block, T. et al. Human perinatal stem cell derived extracellular matrix enables rapid maturation of hiPSC-CM structural and functional phenotypes. Sci Rep 10, (2020).", Human perinatal stem cell derived extracellular matrix enables rapid maturation of hiPSC-CM structural and functional phenotypes,,https://doi.org/10.1038/s41598-020-76052-y,2020," Sci Rep 10, (2020)",iCell,1,,,,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Human perinatal ECM (MatrixPlus),,,,,,,,,Yes,ECM-coated plastic/glass,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,Patch clamp,34.9,,-79,,,,,"tamoxifen, nifedipine, nitrendipine, ranolazine, diltiazem, metoprolol, verapamil, domperidone, droperidol, clozapine, terfenadine, astemizole, cisapride, pimozide, risperidone, ondansetron, disopyramide, quinidine, DI sotalol, bepridil, dofetilide, azimilide, ibutilide, vandetanib",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,,,,,,,,,,,,,,,,,,,Q1,,Q1,,,,
"Borchert, T. et al. Catecholamine-Dependent b-Adrenergic Signaling in a Pluripotent Stem Cell Model of Takotsubo Cardiomyopathy. J Am Coll Cardiol 70, 965-991 (2017).", Catecholamine-Dependent b-Adrenergic Signaling in a Pluripotent Stem Cell Model of Takotsubo Cardiomyopathy,,https://doi.org/10.1016/j.jacc.2017.06.061,2017," J Am Coll Cardiol 70, 965-991 (2017)",in-house,3,,,Geltrex,E8,90,RPMI-1640,"L-ascorbic acid, albumin",CHIR99021,0-2,IWP2,3-May,No glucose with lactate,30-33,Flow cytometry for cTnT+,90,,Gelatin,,,,,,,,,,,Collagen,CM + SC,hFF,,"Iscove,Medium,B27,NEAAs,L,glutamine,L,acsorbic,acid,IGF1,FGF,2,VEGF,TGFB",30,,Yes,,,,,,,,,,Dye,5,40,250,1000,,,,,,,,,,,Takosubo syndrome,,,,3D Only,,,2,Q2,2,Q2,10,,,3,Q2,Q3,RPMI-1640,70,Q3,0,Q2,30,Q1,Q1,,,,,,,Q1,Q3,Q3,Q1,,,,,,,,
"Branco, M. A. et al. Transcriptomic analysis of 3D Cardiac Differentiation of Human Induced Pluripotent Stem Cells Reveals Faster Cardiomyocyte Maturation Compared to 2D Culture. Sci Rep 9, (2019).", Transcriptomic analysis of 3D Cardiac Differentiation of Human Induced Pluripotent Stem Cells Reveals Faster Cardiomyocyte Maturation Compared to 2D Culture,,https://doi.org/10.1038/s41598-019-45047-9,2019," Sci Rep 9, (2019)","DF6-9-9T.B, F002.1A.13, Gibco episomal",3,"NaN, NaN, NaN","NaN, NaN, NaN",Matrigel,mTeSR-1,92.5,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,,,Flow cytometry for cTnT+,90,,,,,,,,,,,,ECM-coated plastic/glass,Scaffold free,CM,,,"RPMI,1640,B27",1,0.07,Yes,,Yes,,1500,,,,,,,,,,,,Patch clamp,,,,,Glucose consumption and Lactate production rate analysis,,"RNA-seq, PCR",,,,,,2D and 3D,,,1,Q3,2,Q2,7,,,,,Q3,RPMI-1640,100,Q1,0,Q2,0,Q3,Q4,Q5,,Q3,,,,,,,,,,,,,,,
"Brink, L. van den et al. Cryopreservation of human pluripotent stem cell-derived cardiomyocytes is not detrimental to their molecular and functional properties. Stem Cell Res 43, (2020).", Cryopreservation of human pluripotent stem cell-derived cardiomyocytes is not detrimental to their molecular and functional properties,,https://doi.org/10.1016/j.scr.2019.101698,2020," Stem Cell Res 43, (2020)","LUMC0020iCTRL, LUMC0099iCTRL",2,Female,Caucasian,Matrigel,E8,,Pluricyte Cardiomyocyte Differentiation Kit (NCardia),Pluricyte Cardiomyocyte Differentiation Kit (NCardia) or Bovine Serum Albumin (BSA) Polyvinylalchohol Essential Lipids,CHIR99021,0-2,"XAV939, IWP-L6",2-Apr,,,Flow cytometry for cTnT+,80,Medium C (NCardia),Matrigel,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,Motion tracking analysis,,,,,,,220,,,Patch clamp,,100,-78,,,,PCR,,,,,,2D Only,,,2,Q2,2,Q2,,,,,,Q4,Medium C (NCardia),,,,,,,,,,,,,,,,Q3,,,,Q3,Q1,,,,
"Buikema, J. W. et al. Wnt Activation and Reduced Cell-Cell Contact Synergistically Induce Massive Expansion of Functional Human iPSC-Derived Cardiomyocytes. Cell Stem Cell 27, 50-63.e5 (2020).", Wnt Activation and Reduced Cell-Cell Contact Synergistically Induce Massive Expansion of Functional Human iPSC-Derived Cardiomyocytes,,https://doi.org/10.1016/j.stem.2020.06.001,2020," Cell Stem Cell 27, 50-63.e5 (2020)","SCVI-111, SCVI-113, SCVI-273, SCVI-202",4,"NaN, NaN, NaN, NaN","NaN, NaN, NaN, NaN",Matrigel,E8,100,RPMI-1640,B27,CHIR99021,0-2,Wnt-C59,3-May,,,Flow cytometry for cTnT+,85,,Matrigel,,,,Yes,,,,,,Micropatterned PAA,Fibrin + matrigel,CM,,,"DMEM,horse,serum,insulin,aprotinin",10.3,10.2,Yes,,Yes,,,,Post deflection,0.25,,20,,4,,,,,Patch clamp; optical mapping,,,,,,,RNA-seq,,,,,,2D and 3D,,,2,Q2,2,Q2,7,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,Q2,Q2,,,Q3,,Q3,Q1,,,,,,,,,,,
"Burnett, S. D. et al. Population-based toxicity screening in human induced pluripotent stem cell-derived cardiomyocytes. Toxicol Appl Pharmacol 381, (2019).", Population-based toxicity screening in human induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1016/j.taap.2019.114711,2019," Toxicol Appl Pharmacol 381, (2019)","iCell, CDI (42)",43,"NaN, Female","NaN, Caucasian",,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,Dye,,21,,,,,,,,,,,,"minobispropanenirtile, hexanedioic acid, titanocene dichloride, 2-amino-4-chlorophenol, 1-4-benzoquinone, di(2-ethylhexyl)phthalate, 3-4-dichlorophenyl isocyanate, isodecyl diphenyl phosphate, azobenzene, bisophenol A, tris(2-chloroethyl)phosphate, 2-ethylhexyl diphenyl phosphate, 3-3-5-5-tetrabromobisphenol A, tert-butyl phosphates isopropylated, triphenyl phosphate, tris(methylphenyl)phosphate, thiabendazole, aldicarb, captan, endosultan, 8-hydroxyquinoline, aldrin, myclobutanil, dichlorodiphenyltrichloroethane, dieldrin, heptachlor, parathion, chlorpyrifos, carbaryl, 2-phenylphenol, dazomet, acetochlor, deltamethrin, permethrin, tebuconazole, 3-iodo-2-propynyl-n-butylcarbamate, hexachlorophene, gentian violet, rotenone, manganese(2)acetate, (CH3-cyclopentadienyl)tricarbonyl Mn, methylmercuric(2)chloride, hydroxyurea, acetylsalicylic acid, atenolol, acetaminophen, sodium valproate, 6-propyl-2-thiouracil, phenobarbital sodium, thalidomide, rantidine, 6-thioquanine, 5-fluotouracil, citalopram hydrobromide, disulfiram, pyrimethamine, rantidine hydrochloride, colchicine, lidocaine, progesterone, lamotrigine, flutamide, lindane, mexiletine hydrochloride, moxifloxacin hydrochloride, nifedipine, n-acetylprocainamide, triameterene, vernacalant, cabazitaxel, ranolazine, loratadine, propafenone, quinidine sulfate, tamoxifen, bepridil hydrochloride, chlorpromazine hydrochloride, reserpine, ditiazem, diethylstilbestrol, mifepristone, mifepristone2, sotalol hydrochloride, amitriptyline hydrochloride, sotalol, mitrendipine, terfenadine, verapamil hydrochloride, sematilide, azithromycin, ibutilide fumarate, cisapride monohydrate, dofetilide",,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,,,,,,,,,,,,,,,Q5,,,,,,,,,,
"Cao, Y. et al. Nondestructive nanostraw intracellular sampling for longitudinal cell monitoring. Proc Natl Acad Sci U S A 114, E1866E1874 (2017).", Nondestructive nanostraw intracellular sampling for longitudinal cell monitoring,,https://doi.org/10.1073/pnas.1615375114,2017," Proc Natl Acad Sci U S A 114, E1866E1874 (2017)",Not listed,1,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,Nanotopography,,,,,,,,,SEM,,,,,,,,,,,,,,,,,,,,,,PCR,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Carson, D. et al. Nanotopography-Induced Structural Anisotropy and Sarcomere Development in Human Cardiomyocytes Derived from Induced Pluripotent Stem Cells. ACS Applied Materials and Interfaces 8, 2192321932 (2016).", Nanotopography-Induced Structural Anisotropy and Sarcomere Development in Human Cardiomyocytes Derived from Induced Pluripotent Stem Cells,,https://doi.org/10.1021/acsami.5b11671,2016," ACS Applied Materials and Interfaces 8, 2192321932 (2016)",IMR-90,1,Female,,Matrigel,"KO-DMEM, KOSR, L-glutamine, NEAAs, bFGF, ?-mercaptoethanol",100,RPMI-1640,B27,"Activin A, BMP4, CHIR99021",0-5,XAV939,5-Jul,,,Flow cytometry for cTnT+,80,,PUABP-RGD peptides or fibronectin,,,,,,,Yes,,,Nanotopography,,,,,,,,Yes,,Yes,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,2D Only,100,,5,Q1,2,Q2,7,,,,,Q4,RPMI-1640,,,,,,,,,Q3,,,,,,,,,,,,,,,,
"Cashman, T. J., Josowitz, R., Johnson, B. V., Gelb, B. D. & Costa, K. D. Human engineered cardiac tissues created using induced pluripotent stem cells reveal functional characteristics of BRAF-mediated hypertrophic cardiomyopathy. PLoS One 11, (2016).", Human engineered cardiac tissues created using induced pluripotent stem cells reveal functional characteristics of BRAF-mediated hypertrophic cardiomyopathy,,https://doi.org/10.3389/fcvm.2021.806215,2016," PLoS One 11, (2016)",in-house,1,,,MEF feeder cells,"DMEM/F12, KSR, MEF-conditioned medium, L-glutamine, NEAAs, ?-mercaptoethanol, bFGF",EB,StemPro-34,"L-glutamine, 1-thioglycerol, L-ascorbic acid, transferrin","Activin A, BMP4",0-4,IWR1,4-Aug,Cell sorting,,,,,,,,,Yes,Yes,,,,,,Collagen + matrigel,CM + SC,hiPSC-SC,,NBS,10,5,,,,,,,Post deflection,0.05,,,,,,,,,,,,,2.5,,,PCR,isoproterenol,Cardio-facio-cutaneous syndrome causing BRAF mutation,,,,3D Only,,,4,Q1,4,Q1,,,,,,,StemPro-34,75,Q3,0,Q2,25,Q1,Q3,Q3,,,Q4,,,,,,,,,,,Q2,,,
"Chelko, S. P. et al. Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy. Circulation 140, 14911505 (2019).", Therapeutic Modulation of the Immune Response in Arrhythmogenic Cardiomyopathy,,https://doi.org/10.1161/CIRCULATIONAHA.119.040676,2019," Circulation 140, 14911505 (2019)",in-house,2,,,Geltrex,E8,80,RPMI-1640,B27,CHIR99021,0-2,IWR1,3-May,No glucose with lactate,15-19,,,,Geltrex,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,ACM,,,,2D Only,80,,2,Q2,2,Q2,9,4,Q2,4,Q2,,RPMI-1640,,,,,,,,,,,,,,,,,,,,,,,,,
"Chen, P. et al. Bioacoustic-enabled patterning of human iPSC-derived cardiomyocytes into 3D cardiac tissue. Biomaterials 131, 4757 (2017).", Bioacoustic-enabled patterning of human iPSC-derived cardiomyocytes into 3D cardiac tissue,,https://doi.org/10.1016/j.biomaterials.2017.03.037,2017," Biomaterials 131, 4757 (2017)",in-house,1,,,Matrigel,E8,85,RPMI-1640,"L-ascorbic acid, albumin",CHIR99021,0-2,Wnt-C59,2-Apr,No glucose with lactate,8-Dec,IHC a-actinin,98,,,,,,,,,Yes,,,,Scaffold free,CM,,,"RPMI,1640,L,ascorbic,acid,albumin,aprotinin",1.7,,Yes,,,,,,Motion tracking analysis,,0.225,,,,,,,,,,,,,Reduction assay ,,,,,,,,3D Only,,,2,Q2,2,Q2,,,,4,Q2,Q1,RPMI-1640,100,Q1,0,Q2,0,Q3,Q4,,,,,Q4,,,,,,,,,,,,,
"Chen, T. & Vunjak-Novakovic, G. Human Tissue-Engineered Model of Myocardial Ischemia-Reperfusion Injury. Tissue Eng Part A 25, 711724 (2019).", Human Tissue-Engineered Model of Myocardial Ischemia-Reperfusion Injury,,https://doi.org/10.1089/ten.tea.2018.0212,2019," Tissue Eng Part A 25, 711724 (2019)",WTC11,1,Male,Asian,Matrigel,mTeSR-1,92.5,RPMI-1640,"L-ascorbic acid, albumin",CHIR99021,0-2,Wnt-C59,2-Apr,,,,,,,,,,Yes,,,,,,,Collagen + fibrin,CM,,,"RPMI,1640,B27,L,ascorbic,acid,aprotinin",25,14,Yes,,,,,,Motion tracking analysis,,,,,,,,,,,,,,,,,,,Acute myocardial infarction,,,,3D Only,,,2,Q2,2,Q2,12,,,,,,RPMI-1640,100,Q1,0,Q2,0,Q3,Q1,Q2,,,,,,,,,,,,,,,,,
"Chen, V. C. et al. Development of a scalable suspension culture for cardiac differentiation from human pluripotent stem cells. Stem Cell Res 15, 365375 (2015).", Development of a scalable suspension culture for cardiac differentiation from human pluripotent stem cells,,https://doi.org/10.1016/j.scr.2015.08.002,2015," Stem Cell Res 15, 365375 (2015)",in-house,1,,,EBs,"StemPro hESC SFM, bFGF",EB,RPMI-1640 (with 20-40% conditioned media),B27,CHIR99021,0-1,IWP4,2-Apr,,,Flow cytometry for cTnT+,96,,Synthemax,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,,,,,,,Patch clamp,,118,-61.3,,,,RNA-seq,,,,,,2D Only,,,1,Q3,2,Q2,4,,,,,Q1,RPMI-1640 (with 20-40% conditioned media),,,,,,,,,,,,,,,,,,,,Q1,Q4,,,,
"Chen, Y., Chan, J. P. Y., Wu, J., Li, R. K. & Santerre, J. P. Compatibility and function of human induced pluripotent stem cell derived cardiomyocytes on an electrospun nanofibrous scaffold, generated from an ionomeric polyurethane composite. J Biomed Mater Res A 110, 19321943 (2022)."," Compatibility and function of human induced pluripotent stem cell derived cardiomyocytes on an electrospun nanofibrous scaffold, generated from an ionomeric polyurethane composite",,https://doi.org/10.1002/jbm.a.37428,2022," J Biomed Mater Res A 110, 19321943 (2022)",iCell2,1,,,,,,iCell Maintenance Medium,iCell Maintenance Medium (CDI),,,,,,,,,,Gelatin,,,,,,,Yes,,,Electrospun fibers,,,,,"iCell,Maintenance,Medium,CDI",,,Yes,SEM,Yes,,1250,,,,,,Dye,,15,,,11,,,,,,,,,,,,,,2D Only,,,1,Q3,1,Q3,,,,,,,iCell Maintenance Medium,,,,,,,,,,Q3,,,,,Q5,,,Q2,,,,,,,
"Cheng, J. et al. An East Asian Common Variant Vinculin P.Asp841His Was Associated With Sudden Unexplained Nocturnal Death Syndrome in the Chinese Han Population. J Am Heart Assoc 6, (2017).", An East Asian Common Variant Vinculin P.Asp841His Was Associated With Sudden Unexplained Nocturnal Death Syndrome in the Chinese Han Population,,https://doi.org/10.1161/JAHA.116.005330,2017," J Am Heart Assoc 6, (2017)",iCell,1,,,,,,,,,,,,,,,,,,,,,,,,,,,ECM-coated plastic/glass,,,,,,,,,,,,,,,,,,,,,,,,Patch clamp,,,,,,,,,Cadiomyopathy-causing vinculin mutation that may account for sudden unexplained nocturnal death syndrome,,,,2D Only,,,1,Q3,1,Q3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chopra, A. et al. Force Generation via ?-Cardiac Myosin, Titin, and ?-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions. Dev Cell 44, 87-96.e5 (2018)."," Force Generation via  ?-Cardiac Myosin, Titin, and ?-Actinin Drives Cardiac Sarcomere Assembly from Cell-Matrix Adhesions",,https://doi.org/10.1016/j.devcel.2017.12.012,2018," Dev Cell 44, 87-96.e5 (2018)",PGP1,1,Male,Caucasian,Matrigel,mTeSR-1,,RPMI-1640,B27,CHIR99021,0-1,IWP4,3-May,No glucose and lactate,9-Nov,Flow cytometry for cTnT+,90,,Fibronectin,,,,,,,,,,"Micropatterned PDMS, Micropatterned PAA",Collagen + fibrin,CM + SC,hMSC,,,,0.01,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,,DCM,,,,2D and 3D,,,1,Q3,2,Q2,7,,,2,Q2,Q3,RPMI-1640,70,Q3,0,Q2,30,Q1,,Q5,,,,,,,,,,,,,,,,,
"Chun, Y. W. et al. Combinatorial polymer matrices enhance in vitro maturation of human induced pluripotent stem cell-derived cardiomyocytes. Biomaterials 67, 5264 (2015).", Combinatorial polymer matrices enhance in vitro maturation of human induced pluripotent stem cell-derived cardiomyocytes,,https://doi.org/10.1016/j.biomaterials.2015.07.004,2015," Biomaterials 67, 5264 (2015)",CC2,1,,,Matrigel,mTeSR-1,,RPMI-1640,B27,"Activin A, BMP4, bFGF",0-5,,,,,Flow cytometry for cTnT+,95,"DMEM/F12, FBS, L-glutamine, NEAAs, ?-mercaptoethanol","Matrigel, Vitronectin",,,,,,,Yes,,,Electrospun fibers,,,,,,,,Yes,,,,,,TFM,0.0002,,,,,,,,,,,,,,TMRM staining,,"RNA-seq, PCR",,,,,,2D Only,,,5,Q1,1,Q3,5,,,,,Q2,"DMEM/F12, FBS, L-glutamine, NEAAs, ?-mercaptoethanol",,,,,,,,,,,Q5,,,,,,,,,,,,,,
"Correia, C. et al. 3D aggregate culture improves metabolic maturation of human pluripotent stem cell derived cardiomyocytes. Biotechnol Bioeng 115, 630644 (2018).", 3D aggregate culture improves metabolic maturation of human pluripotent stem cell derived cardiomyocytes,,https://doi.org/10.1002/bit.26504,2018," Biotechnol Bioeng 115, 630644 (2018)","DF19-9-11T.H, UKKi006-A",2,"Male, Female","NaN, Caucasian",Matrigel,mTeSR-1,85,RPMI-1640,B27,CHIR99021,0-1,IWR1,1-Mar,,,Flow cytometry for cTnT+,80,,Matrigel,,,,,,,,,,ECM-coated plastic/glass,Scaffold free,CM,,,,0.36,0.06,Yes,TEM,,1.5,,,,,,,,,50,,,,Optical mapping,,,,,Metabolic flux,Yes,Transcriptomics,,,,,,2D and 3D,,,1,Q3,2,Q2,7,,,,,Q4,RPMI-1640,100,Q1,0,Q2,0,Q3,Q5,Q5,Q5,,,,,,Q2,,,,,,,,,,
"Correia, C. et al. Distinct carbon sources affect structural and functional maturation of cardiomyocytes derived from human pluripotent stem cells. Sci Rep 7, (2017).", Distinct carbon sources affect structural and functional maturation of cardiomyocytes derived from human pluripotent stem cells,,https://doi.org/10.1038/s41598-017-08713-4 ,2017," Sci Rep 7, (2017)",DF19-9-11T.H,1,Male,,Matrigel,mTeSR-1,85,RPMI-1640,"B27, L-ascorbic acid","CHIR99021, Activin A",0-1,IWR1,1-Jun,No glucose with lactate,15-35,Flow cytometry for cTnT+,80,"RPMI-1640 without glucose, B27, L-glutamine, galactose, oleic acid, palmitic acid",Matrigel,Yes,"Glutamine, oleic acid, palmitic acid, galactose",,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,TEM,Yes,,,,Motion tracking analysis,,0.5,70,Dye,4,,99,,,,,,,,Seahorse,Yes,Microarray,,,,,,2D Only,85,,1,Q3,5,Q1,1,,,20,Q1,Q4,"RPMI-1640 without glucose, B27, L-glutamine, galactose, oleic acid, palmitic acid",,,,,,,,,,,,Q4,Q1,Q1,,Q5,,,,,,,,,
"Cortes, D. et al. BEaTS-? an open access 3D printed device for in vitro electromechanical stimulation of human induced pluripotent stem cells. Sci Rep 10, (2020).", BEaTS-? an open access 3D printed device for in vitro electromechanical stimulation of human induced pluripotent stem cells,,https://doi.org/10.1038/s41598-020-67169-1,2020," Sci Rep 10, (2020)",in-house,1,,,,,85,RPMI-1640,"L-ascorbic acid, albumin",CHIR99021,0-2,Wnt-C59,2-Apr,No glucose,Oct-14,,,,Attachment Factor (Thermo),,,Yes,,,Yes,,,,ECM-coated plastic/glass,,,,,,,,Yes,,Yes,1.9,,,,,,,,,,,,,,,,,,,,PCR,,,,,,2D Only,85,,2,Q2,2,Q2,,,,4,Q2,,RPMI-1640,,,,,,,,,Q2,,,,,,,,,,,,,,,,
"Crombie, D. E. et al. Friedreichs ataxia induced pluripotent stem cell-derived cardio-myocytes display electrophysiological abnormalities and calcium handling deficiency. Aging 9 1440-1449 (2017).", Friedreichs ataxia induced pluripotent stem cell-derived cardio-myocytes display electrophysiological abnormalities and calcium handling deficiency,,https://doi.org/10.18632/aging.101247,2017, Aging 9 1440-1449 (2017),in-house,1,,,EBs,TeSR-E8,,IMDM,"L-glutamine, HEPES, NEAAs, human albumin, ?-mercaptoethanol, L-ascorbic acid ",CHIR99021,0-2,"KY02111, XAV939",3-Aug,,,"IHC cTnT, IHC cTnI, IHC NKX2-5",,"IMDM, L-glutamine, HEPES, NEAAs, ?-mercaptoethanol","Laminin, Matrigel",,,,,,,,,,ECM-coated plastic/glass,,,,,,,,Yes,,,,,,,,,,Dye,,,,,,MEA,,,,,,,PCR,"isoproterenol, nifedipine",Friedreichs ataxia (FRDA),,,,2D Only,,,2,Q2,5,Q1,,,,,,,"IMDM, L-glutamine, HEPES, NEAAs, ?-mercaptoethanol",,,,,,,,,,,,,,,,,,,,,,,,,
"Cui, H. et al. 4D physiologically adaptable cardiac patch: A 4-month in vivo study for the treatment of myocardial infarction. Sci Adv 26,  (2020).", 4D physiologically adaptable cardiac patch: A 4-month in vivo study for the treatment of myocardial infarction,,https://doi.org/10.1126/sciadv.abb5067,2020," Sci Adv 26,  (2020)",in-house,1,,,Matrigel,E8,85,E8,Chemically Defined Lipid Concentrate,CHIR99021,0-1,IWP2,2-May,,,,,,,,,,,Yes,Flow ,Yes,,,,PEG + ECM,CM + EC + SC,hMSC,HUVEC,"E8,Chemically,Defined,Lipid,Concentrate,MEM,FBS,L,glutamine,Medium,200,and,low,serum,growth,supplement,1,1,1",,4,Yes,,,,,,,,,,Dye,2,,,,,,,,,,,,PCR,,,,,,3D Only,,,1,Q3,3,Q1,7,,,,,,E8,33,Q3,33,Q1,33,Q1,,Q3,,,,,,Q2,,,,,,,,,,,
